Geography,Date Interval,Date,Units,BodyType,Keepership,Petrol,Diesel,Hybrid electric (petrol),Hybrid electric (diesel),Plug-in hybrid electric (petrol),Plug-in hybrid electric (diesel),Battery electric,Range extended electric,Fuel cell electric,Gas,Others,Total
United Kingdom,Monthly,August 2017,Thousands,Buses and coaches,Total,[low],0.6,0.0,0.0,0.0,0.0,[low],0.0,0.0,[low],0.0,0.6
United Kingdom,Monthly,September 2017,Thousands,Buses and coaches,Total,[low],1.2,0.0,0.0,0.0,0.0,[low],0.0,0.0,0.0,0.0,1.2
United Kingdom,Monthly,October 2017,Thousands,Buses and coaches,Total,[low],0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6
United Kingdom,Monthly,November 2017,Thousands,Buses and coaches,Total,[low],0.7,0.0,0.0,0.0,0.0,[low],0.0,0.0,0.0,0.0,0.7
United Kingdom,Monthly,December 2017,Thousands,Buses and coaches,Total,[low],0.6,0.0,0.0,0.0,0.0,[low],0.0,[low],[low],0.0,0.6
United Kingdom,Monthly,January 2018,Thousands,Buses and coaches,Total,[low],0.5,0.0,0.0,0.0,0.0,[low],0.0,0.0,[low],0.0,0.6
United Kingdom,Monthly,February 2018,Thousands,Buses and coaches,Total,[low],0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
United Kingdom,Monthly,March 2018,Thousands,Buses and coaches,Total,[low],1.0,0.0,0.0,0.0,0.0,[low],0.0,0.0,[low],0.0,1.0
United Kingdom,Monthly,April 2018,Thousands,Buses and coaches,Total,[low],0.7,0.0,0.0,0.0,0.0,[low],0.0,0.0,[low],0.0,0.7
United Kingdom,Monthly,May 2018,Thousands,Buses and coaches,Total,[low],0.8,0.0,0.0,0.0,0.0,[low],0.0,0.0,0.0,0.0,0.8
United Kingdom,Monthly,June 2018,Thousands,Buses and coaches,Total,[low],0.8,0.0,0.0,0.0,0.0,[low],0.0,0.0,0.0,0.0,0.8
United Kingdom,Monthly,July 2018,Thousands,Buses and coaches,Total,[low],0.5,0.0,0.0,0.0,0.0,[low],0.0,0.0,0.0,0.0,0.6
United Kingdom,Monthly,August 2018,Thousands,Buses and coaches,Total,[low],0.4,0.0,0.0,0.0,0.0,[low],0.0,0.0,0.0,0.0,0.4
United Kingdom,Monthly,September 2018,Thousands,Buses and coaches,Total,[low],1.1,0.0,0.0,0.0,0.0,[low],0.0,0.0,0.0,0.0,1.1
United Kingdom,Monthly,October 2018,Thousands,Buses and coaches,Total,[low],0.7,0.0,0.0,0.0,0.0,[low],0.0,0.0,0.0,[low],0.7
United Kingdom,Monthly,November 2018,Thousands,Buses and coaches,Total,[low],0.6,0.0,0.0,0.0,0.0,[low],0.0,0.0,[low],0.0,0.6
United Kingdom,Monthly,December 2018,Thousands,Buses and coaches,Total,0.0,0.4,0.0,0.0,0.0,0.0,[low],0.0,0.0,[low],0.0,0.5
United Kingdom,Monthly,January 2019,Thousands,Buses and coaches,Total,[low],0.4,0.0,0.0,0.0,0.0,[low],0.0,0.0,0.0,0.0,0.4
United Kingdom,Monthly,February 2019,Thousands,Buses and coaches,Total,[low],0.4,0.0,[low],0.0,0.0,[low],0.0,0.0,0.0,0.0,0.4
United Kingdom,Monthly,March 2019,Thousands,Buses and coaches,Total,[low],0.7,0.0,[low],0.0,0.0,0.0,0.0,[low],[low],0.0,0.8
United Kingdom,Monthly,April 2019,Thousands,Buses and coaches,Total,[low],0.5,0.0,0.0,0.0,0.0,[low],0.0,0.0,[low],0.0,0.5
United Kingdom,Monthly,May 2019,Thousands,Buses and coaches,Total,[low],0.6,0.0,0.0,0.0,0.0,[low],0.0,0.0,[low],0.0,0.6
United Kingdom,Monthly,June 2019,Thousands,Buses and coaches,Total,[low],0.6,0.0,0.0,0.0,0.0,[low],0.0,0.0,[low],0.0,0.6
United Kingdom,Monthly,July 2019,Thousands,Buses and coaches,Total,[low],0.3,0.0,0.0,0.0,0.0,[low],0.0,0.0,[low],0.0,0.4
United Kingdom,Monthly,August 2019,Thousands,Buses and coaches,Total,[low],0.3,0.0,0.0,0.0,0.0,[low],0.0,0.0,0.0,0.0,0.3
United Kingdom,Monthly,September 2019,Thousands,Buses and coaches,Total,[low],1.0,0.0,0.0,0.0,0.0,[low],0.0,0.0,[low],0.0,1.0
United Kingdom,Monthly,October 2019,Thousands,Buses and coaches,Total,[low],0.7,0.0,0.0,0.0,0.0,[low],0.0,0.0,0.0,0.0,0.7
United Kingdom,Monthly,November 2019,Thousands,Buses and coaches,Total,[low],0.7,0.0,0.0,0.0,0.0,[low],0.0,0.0,0.0,[low],0.7
United Kingdom,Monthly,December 2019,Thousands,Buses and coaches,Total,[low],0.7,0.0,0.0,0.0,0.0,[low],0.0,0.0,[low],0.0,0.7
United Kingdom,Monthly,January 2020,Thousands,Buses and coaches,Total,[low],0.4,0.0,0.0,0.0,0.0,[low],0.0,0.0,[low],0.0,0.4
United Kingdom,Monthly,February 2020,Thousands,Buses and coaches,Total,[low],0.3,0.0,0.0,0.0,0.0,[low],0.0,0.0,[low],0.0,0.4
United Kingdom,Monthly,March 2020,Thousands,Buses and coaches,Total,[low],0.9,0.0,0.0,0.0,0.0,0.1,0.0,0.0,[low],0.0,1.0
United Kingdom,Monthly,April 2020,Thousands,Buses and coaches,Total,[low],0.1,0.0,0.0,0.0,0.0,[low],0.0,0.0,0.0,0.0,0.1
United Kingdom,Monthly,May 2020,Thousands,Buses and coaches,Total,0.0,0.1,0.0,0.0,0.0,0.0,[low],0.0,0.0,0.0,0.0,0.1
United Kingdom,Monthly,June 2020,Thousands,Buses and coaches,Total,0.0,0.2,0.0,0.0,0.0,0.0,[low],0.0,0.0,0.0,0.0,0.2
United Kingdom,Monthly,July 2020,Thousands,Buses and coaches,Total,[low],0.3,0.0,0.0,0.0,0.0,[low],0.0,0.0,[low],0.0,0.3
United Kingdom,Monthly,August 2020,Thousands,Buses and coaches,Total,[low],0.4,[low],0.0,0.0,0.0,[low],0.0,0.0,0.0,0.0,0.4
United Kingdom,Monthly,September 2020,Thousands,Buses and coaches,Total,[low],0.8,0.0,0.0,0.0,0.0,[low],0.0,0.0,0.0,0.0,0.9
United Kingdom,Monthly,October 2020,Thousands,Buses and coaches,Total,[low],0.6,0.0,0.0,0.0,0.0,[low],0.0,[low],0.0,0.0,0.6
United Kingdom,Monthly,November 2020,Thousands,Buses and coaches,Total,[low],0.5,0.0,0.0,0.0,0.0,[low],0.0,[low],0.0,0.0,0.5
United Kingdom,Monthly,December 2020,Thousands,Buses and coaches,Total,[low],0.3,0.0,0.0,0.0,0.0,[low],0.0,[low],0.0,0.0,0.3
United Kingdom,Monthly,January 2021,Thousands,Buses and coaches,Total,[low],0.2,0.0,0.0,0.0,0.0,[low],0.0,[low],0.0,0.0,0.3
United Kingdom,Monthly,February 2021,Thousands,Buses and coaches,Total,[low],0.2,0.0,0.0,0.0,0.0,[low],0.0,[low],0.0,0.0,0.2
